
ja	yes (from german) [interj]
joanneses	"joannes, a portuguese gold coin, also johannes [n]"
job	"to do piece work [v jobbed, jobbing, jobs]"
jobation	"a long, tedious rebuke or harangue, also jawbation [n -s]"
jobations	"jobation, a long, tedious rebuke or harangue, also jawbation [n]"
jobbed	"job, to do piece work [v]"
jobber	a pieceworker [n -s]
jobberies	"jobbery, the conduct of public business for private gain [n]"
jobbers	"jobber, a pieceworker [n]"
jobbery	the conduct of public business for private gain [n jobberies]
jobbie	(scots) a lump of excrement [n -s]
jobbies	"jobbie, (scots) a lump of excrement [n]"
jobbing	the doing of jobs [n -s]
jobbings	"jobbing, the doing of jobs [n]"
jobcentre	a centre for employment [n -s]
jobcentres	"jobcentre, a centre for employment [n]"
jobe	"to reprimand tediously [v jobed, jobing, jobes]"
jobed	"jobe, to reprimand tediously [v]"
jobernowl	a stupid person [n -s]
jobernowls	"jobernowl, a stupid person [n]"
jobes	"jobe, to reprimand tediously [v]"
jobholder	one who has a job [n -s]
jobholders	"jobholder, one who has a job [n]"
jobing	"jobe, to reprimand tediously [v]"
jobless	without a job [adj]
joblessness	the state of being jobless [n -es]
joblessnesses	"joblessness, the state of being jobless [n]"
jobname	a computer code for a job instruction [n -s]
jobnames	"jobname, a computer code for a job instruction [n]"
jobs	"job, to do piece work [v]"
jobseeker	one engaged in seeking employment [n -s]
jobseekers	"jobseeker, one engaged in seeking employment [n]"
jobshare	the practice of dividing one job between two [n -s]
jobshares	"jobshare, the practice of dividing one job between two [n]"
jobsworth	"a minor official, esp. one who adheres rigidly to petty rules [n -s]"
jobsworths	"jobsworth, a minor official, esp. one who adheres rigidly to petty rules [n]"
jock	(us slang) a keen sportsman [n -s]
jockdom	the world of athletes [n -s]
jockdoms	"jockdom, the world of athletes [n]"
jockette	(facetious) a female jockey [n -s]
jockettes	"jockette, (facetious) a female jockey [n]"
jockey	"to maneuver for position [v -ed, -ing, -s]"
jockeyed	"jockey, to maneuver for position [v]"
jockeying	"jockey, to maneuver for position [v]"
jockeyish	like a jockey [adj]
jockeyism	the practice of jockeys [n -s]
jockeyisms	"jockeyism, the practice of jockeys [n]"
jockeys	"jockey, to maneuver for position [v]"
jockeyship	the art or practice of a jockey [n -s]
jockeyships	"jockeyship, the art or practice of a jockey [n]"
jockier	"jocky, resembling an athlete [adj]"
jockiest	"jocky, resembling an athlete [adj]"
jockish	"like a jock, macho [adj]"
jockney	the scots dialect influenced by cockney speech patterns [n -s]
jockneys	"jockney, the scots dialect influenced by cockney speech patterns [n]"
jocko	a chimpanzee [n -s]
jockos	"jocko, a chimpanzee [n]"
jocks	"jock, (us slang) a keen sportsman [n]"
jockstrap	a genital support worn esp. by men participating in athletics [n -s]
jockstraps	"jockstrap, a genital support worn esp. by men participating in athletics [n]"
jockteleg	(scots) a large clasp knife [n -s]
jocktelegs	"jockteleg, (scots) a large clasp knife [n]"
jocky	"resembling an athlete [adj jockier, jockiest]"
joco	(scots) a joke [n -s]
jocos	"joco, (scots) a joke [n]"
jocose	merry; characterized by joking [adj jocosely]
jocosely	"jocose, merry; characterized by joking [adv]"
jocoseness	the quality of being jocose [n -es]
jocosenesses	"jocoseness, the quality of being jocose [n]"
jocoserious	combining serious and humorous matters [adj]
jocosities	"jocosity, cheerfulness [n]"
jocosity	cheerfulness [n jocosities]
jocular	given to joking [adj jocularly]
jocularities	"jocularity, jesting, merriment [n]"
jocularity	"jesting, merriment [n jocularities]"
jocularly	"jocular, given to joking [adv]"
joculator	a professional jester or minstrel [n -s]
joculators	"joculator, a professional jester or minstrel [n]"
jocund	marked by lively mirthfulness [adj jocundly]
jocundities	"jocundity, joyfulness [n]"
jocundity	joyfulness [n jocundities]
jocundly	"jocund, marked by lively mirthfulness [adv]"
jocundness	the state of being jocund [n -es]
jocundnesses	"jocundness, the state of being jocund [n]"
jodel	"to sing with rapidly fluctuating pitch, also yodel, yodle [v jodelled, jodelling, jodels]"
jodelled	"jodel, to sing with rapidly fluctuating pitch, also yodel, yodle [v]"
jodelling	"jodel, to sing with rapidly fluctuating pitch, also yodel, yodle [v]"
jodels	"jodel, to sing with rapidly fluctuating pitch, also yodel, yodle [v]"
jodhpur	"usually in plural, long riding-breeches, wide around the hips but close-fitting from knee to ankle [n -s]"
jodhpurs	"jodhpur, usually in plural, long riding-breeches, wide around the hips but close-fitting from knee to ankle [n]"
joe	"(scots) a loved one, also jo [n -s]"
joes	"joe, (scots) a loved one, also jo [n]"
joey	a young kangaroo [n -s]
joeys	"joey, a young kangaroo [n]"
jog	"to run at a slow, steady pace [v jogged, jogging, jogs]"
jogged	"jog, to run at a slow, steady pace [v]"
jogger	one that jogs [n -s]
joggers	"jogger, one that jogs [n]"
jogging	"running at a slow, steady pace [n -s]"
joggings	"jogging, running at a slow, steady pace [n]"
joggle	"to shake slightly [v joggled, joggling, joggles]"
joggled	"joggle, to shake slightly [v]"
joggler	one who joggles [n -s]
jogglers	"joggler, one who joggles [n]"
joggles	"joggle, to shake slightly [v]"
joggling	"joggle, to shake slightly [v]"
jogpants	loose fitting trousers for jogging [n]
jogs	"jog, to run at a slow, steady pace [v]"
jogtrot	"to move at a slow trot [v jogtrotted, jogtrotting, jogtrots]"
jogtrots	jogtrot [n]
jogtrotted	"jogtrot, to move at a slow trot [v]"
jogtrotting	"jogtrot, to move at a slow trot [v]"
johannes	"an obsolete portuguese gold coin, named from the figure of king john which it bears, also joannes [n -es]"
johanneses	"johannes, an obsolete portuguese gold coin, named from the figure of king john which it bears, also joannes [n]"
john	a toilet [n -s]
johnboat	a narrow square-ended boat [n -s]
johnboats	"johnboat, a narrow square-ended boat [n]"
johnnie	"(slang) a condom, also johnny [n -s]"
johnnies	"johnny, a condom, also johnnie [n]"
johnny	"a condom, also johnnie [n johnnies]"
johnnycake	"a kind of bread made of the meal of maize (indian corn), mixed with water or milk, etc. and baked, also jonnycake [n -s]"
johnnycakes	"johnnycake, a kind of bread made of the meal of maize (indian corn), mixed with water or milk, etc. and baked, also jonnycake [n]"
johns	"john, a toilet [n]"
johnson	(slang) a penis [n -s]
johnsongrass	a tall perennial sorghum widely used as forage [n -es]
johnsongrasses	"johnsongrass, a tall perennial sorghum widely used as forage [n]"
johnsons	"johnson, (slang) a penis [n]"
join	"to unite [v -ed, -ing, -s]"
joinable	able to be joined [adj]
joinder	a joining of parties in a law suit [n -s]
joinders	"joinder, a joining of parties in a law suit [n]"
joined	"join, to unite [v]"
joiner	a carpenter [n -s]
joineries	"joinery, the trade of a joiner [n]"
joiners	"joiner, a carpenter [n]"
joinery	the trade of a joiner [n joineries]
joining	a juncture [n -s]
joinings	"joining, a juncture [n]"
joins	"join, to unite [v]"
joint	"combined [adj jointly] / to fit together by means of a junction [v -ed, -ing, -s]"
jointed	"joint, to fit together by means of a junction [v]"
jointedly	jointed [adv]
jointedness	the state of being jointed [n -es]
jointednesses	"jointedness, the state of being jointed [n]"
jointer	a bricklayer's tool for putting joints in mortar [n -s]
jointers	"jointer, a bricklayer's tool for putting joints in mortar [n]"
jointing	the act of fitting together [n -s]
jointings	"jointing, the act of fitting together [n]"
jointless	without joints [adj]
jointly	"joint, combined [adv]"
jointness	the state of being joint [n -es]
jointnesses	"jointness, the state of being joint [n]"
jointress	"a woman who has a jointure, also jointuress [n -es]"
jointresses	"jointress, a woman who has a jointure, also jointuress [n]"
joints	"joint, to fit together by means of a junction [v]"
jointure	"the settlement of a husband's estate on his wife to become effective on his death [n -s] / to settle a jointure on [v jointured, jointuring, jointures]"
jointured	"jointure, to settle a jointure on [v]"
jointures	"jointure, to settle a jointure on [v]"
jointuress	"a woman who has a jointure, also jointress [n -es]"
jointuresses	"jointuress, a woman who has a jointure, also jointress [n]"
jointuring	"jointure, to settle a jointure on [v]"
jointweed	an american wild plant [n -s]
jointweeds	"jointweed, an american wild plant [n]"
jointworm	"the larva of a small, hymenopterous fly, which is found in gall-like swellings on the stalks of wheat [n -s]"
jointworms	"jointworm, the larva of a small, hymenopterous fly, which is found in gall-like swellings on the stalks of wheat [n]"
joist	"a beam supporting boards of a floor or laths of a ceiling [n -s] / to fit with joists [v -ed, -ing, -s]"
joisted	"joist, to fit with joists [v]"
joisting	"joist, to fit with joists [v]"
joists	"joist, to fit with joists [v]"
jojoba	a small tree [n -s]
jojobas	"jojoba, a small tree [n]"
joke	"to say something amusing [v joked, joking, jokes]"
joked	"joke, to say something amusing [v]"
joker	one that jokes [n -s]
jokers	"joker, one that jokes [n]"
jokes	"joke, to say something amusing [v]"
jokesmith	(archaic) a composer of jokes [n -s]
jokesmiths	"jokesmith, (archaic) a composer of jokes [n]"
jokesome	amusing [adj]
jokester	a practical joker [n -s]
jokesters	"jokester, a practical joker [n]"
jokey	"full of jokes, also joky [adj jokier, jokiest, jokily]"
jokier	"joky, amusing, also jokey [adj]"
jokiest	"joky, amusing, also jokey [adj]"
jokily	amusing [adv]
jokiness	the state of being amusing [n -es]
jokinesses	"jokiness, the state of being amusing [n]"
joking	the act of making a joke [n -s]
jokingly	joking [adv]
jokings	"joking, the act of making a joke [n]"
jokol	"(shetlands) = yes carl, certainly, also yokul [interj]"
joky	"amusing, also jokey [adj jokier, jokiest, jokily]"
jol	"(south african slang) to have a good time [v jolled, jolling, jolls]"
jole	"(dialect) to bump, knock, also joll, joule, jowl [v joled, joling, joles]"
joled	"jol, (south african slang) to have a good time [v]"
joles	"jole, (dialect) to bump, knock, also joll, joule, jowl [v]"
joling	"jol, (south african slang) to have a good time [v]"
joliotium	a former name for the element dubnium [n -s]
joliotiums	"joliotium, a former name for the element dubnium [n]"
joll	"(dialect) to bump, knock, also jole, joule, jowl [v -ed, -ing, -s]"
jolled	"joll, (dialect) to bump, knock, also jole, joule, jowl [v]"
joller	"one who jols, has a good time [n -s]"
jollers	"joller, one who jols, has a good time [n]"
jolley	a guide for fixing a pottery mould for plates [n -s]
jolleyer	"one who uses a jolley, a guide for fixing a pottery mould for plates, also jollyer [n -s]"
jolleyers	"jolleyer, one who uses a jolley, a guide for fixing a pottery mould for plates, also jollyer [n]"
jolleying	"using a jolley, a guide for fixing a pottery mould for plates [n -s]"
jolleyings	"jolleying, using a jolley, a guide for fixing a pottery mould for plates [n]"
jolleys	"jolley, a guide for fixing a pottery mould for plates [n]"
jollied	"jolly, to put or keep in a good humour [v]"
jollier	one who puts others in a good humor [n -s]
jolliers	"jollier, one who puts others in a good humor [n]"
jollies	"jolly, to put or keep in a good humour [v]"
jolliest	"jolly, mirthful [adj]"
jollification	"festivity, merrymaking [n -s]"
jollifications	"jollification, festivity, merrymaking [n]"
jollified	"jollify, to make jolly [v]"
jollifies	"jollify, to make jolly [v]"
jollify	"to make jolly [v jollified, jollifying, jollifies]"
jollifying	"jollify, to make jolly [v]"
jollily	"jolly, mirthful [adv]"
jolliment	(spenser) jollity [n -s]
jolliments	"jolliment, (spenser) jollity [n]"
jolliness	the state of being jolly [n -es]
jollinesses	"jolliness, the state of being jolly [n]"
jolling	"joll, (dialect) to bump, knock, also jole, joule, jowl [v]"
jollities	"jollity, mirth [n]"
jollity	mirth [n jollities]
jollop	a cream [n -s]
jollops	"jollop, a cream [n]"
jolls	"joll, (dialect) to bump, knock, also jole, joule, jowl [v]"
jolly	"mirthful [adj jollier, jolliest, jollily] / to put or keep in a good humour [v jollied, jollying, jollies]"
jollyboat	a small boat kept hoisted at a ship's stern [n -s]
jollyboats	"jollyboat, a small boat kept hoisted at a ship's stern [n]"
jollyer	"one who uses a jolley, a guide for fixing a pottery mould for plates, also jolleyer [n -s]"
jollyers	"jollyer, one who uses a jolley, a guide for fixing a pottery mould for plates, also jolleyer [n]"
jollyhead	(spenser) jollity [n -s]
jollyheads	"jollyhead, (spenser) jollity [n]"
jollying	the act of making plates on a special potter's wheel [n -s]
jollyings	"jollying, the act of making plates on a special potter's wheel [n]"
jols	"jol, (south african slang) to have a good time [v]"
jolt	"to jar or shake roughly [v -ed, -ing, -s]"
jolted	"jolt, to jar or shake roughly [v]"
jolter	"one who, or that which, jolts [n -s]"
jolterhead	"(archaic) a clumsy oaf, a blockhead, also jolthead [n -s]"
jolterheads	"jolterhead, (archaic) a clumsy oaf, a blockhead, also jolthead [n]"
jolters	"jolter, one who, or that which, jolts [n]"
jolthead	"(archaic) a clumsy oaf, a blockhead, also jolterhead [n -s]"
joltheads	"jolthead, (archaic) a clumsy oaf, a blockhead, also jolterhead [n]"
joltier	"jolty, in a jolting manner [adj]"
joltiest	"jolty, in a jolting manner [adj]"
joltily	"jolty, in a jolting manner [adv]"
jolting	the act of making a jolt [n -s]
joltingly	jolting [adv]
joltings	"jolting, the act of making a jolt [n]"
jolts	"jolt, to jar or shake roughly [v]"
jolty	"in a jolting manner [adj joltier, joltiest, joltily]"
jomo	"a cross between a yak and a cow, also zho, dso, dzho, dzo [n -s]"
jomon	(japanese) a particular era in japanese history [n -s]
jomons	"jomon, (japanese) a particular era in japanese history [n]"
jomos	"jomo, a cross between a yak and a cow, also zho, dso, dzho, dzo [n]"
joncanoe	"a boisterous west indian dance, also junkanoo [n -s]"
joncanoes	"joncanoe, a boisterous west indian dance, also junkanoo [n]"
jones	"a drug addiction [n -es] / to have a strong desire [v -ed, -ing, -es]"
jonesed	"jones, to have a strong desire [v]"
joneses	"jones, to have a strong desire [v]"
jonesing	"jones, to have a strong desire [v]"
jong	(afrikaans) friend [n -s]
jongleur	(french) a medieval wandering minstrel [n -s]
jongleurs	"jongleur, (french) a medieval wandering minstrel [n]"
jongs	"jong, (afrikaans) friend [n]"
jonnock	"straightforward, honest, also jannock [adj]"
jonnycake	"a kind of bread made of the meal of maize (indian corn), mixed with water or milk, etc., and baked, also johnnycake [n -s]"
jonnycakes	"jonnycake, a kind of bread made of the meal of maize (indian corn), mixed with water or milk, etc., and baked, also johnnycake [n]"
jonquil	a species of narcissus [n -s]
jonquils	"jonquil, a species of narcissus [n]"
jonties	"jonty, a naval master-at-arms, also janty [n]"
jonty	"a naval master-at-arms, also janty [n jonties]"
jook	"(scots) to duck or dodge, also jouk [v -ed, -ing, -s]"
jooked	"jook, (scots) to duck or dodge, also jouk [v]"
jookeries	"jookery, (scots) trickery, roguery, also joukery [n]"
jookery	"(scots) trickery, roguery, also joukery [n jookeries]"
jooking	"jook, (scots) to duck or dodge, also jouk [v]"
jooks	"jook, (scots) to duck or dodge, also jouk [v]"
jor	"in indian music, the second movement of a raga [n -s]"
joram	"a large drinking bowl, also jorum [n -s]"
jorams	"joram, a large drinking bowl, also jorum [n]"
jordan	a chamberpot [n -s]
jordans	"jordan, a chamberpot [n]"
jordeloo	"(scots) a warning cry when slops are thrown from a window, also gardyloo [n -s]"
jordeloos	"jordeloo, (scots) a warning cry when slops are thrown from a window, also gardyloo [n]"
jors	"jor, in indian music, the second movement of a raga [n]"
jorum	"a large drinking bowl, also joram [n -s]"
jorums	"jorum, a large drinking bowl, also joram [n]"
joseph	a caped overcoat worn by women in the 18th century for riding [n -s]
josephinite	a mineral found only at jospehine creek in oregon [n -s]
josephinites	"josephinite, a mineral found only at jospehine creek in oregon [n]"
josephs	"joseph, a caped overcoat worn by women in the 18th century for riding [n]"
josh	"to tease [v joshed, joshing, joshes]"
joshed	"josh, to tease [v]"
josher	one who joshes [n -s]
joshers	"josher, one who joshes [n]"
joshes	"josh, to tease [v]"
joshing	the act of teasing [n -s]
joshingly	joshing [adv]
joshings	"joshing, the act of teasing [n]"
joskin	"(slang) a clown, yokel [n -s]"
joskins	"joskin, (slang) a clown, yokel [n]"
joss	"a chinese figure of a god, an idol [n -es]"
josser	(slang) a clergyman [n -s]
jossers	"josser, (slang) a clergyman [n]"
josses	"joss, a chinese figure of a god, an idol [n]"
jostle	"to run or strike against, also justle [v jostled, jostling, jostles]"
jostled	"jostle, to run or strike against, also justle [v]"
jostlement	crowding; hustling [n -s]
jostlements	"jostlement, crowding; hustling [n]"
jostler	one who jostles [n -s]
jostlers	"jostler, one who jostles [n]"
jostles	"jostle, to run or strike against, also justle [v]"
jostling	the act of jostling [n -s]
jostlings	"jostling, the act of jostling [n]"
jot	"to note quickly [v jotted, jotting, jots]"
jota	a spanish dance [n -s]
jotas	"jota, a spanish dance [n]"
jots	"jot, to note quickly [v]"
jotted	"jot, to note quickly [v]"
jotter	one that jots; a pad for jotting [n -s]
jotters	"jotter, one that jots; a pad for jotting [n]"
jottier	"jotty, written down quickly [adj]"
jottiest	"jotty, written down quickly [adj]"
jotting	a brief note [n -s]
jottings	"jotting, a brief note [n]"
jotty	"written down quickly [adj jottier, jottiest]"
jotun	"in norse myth, a giant, also jotunn [n -s]"
jotunn	"in norse myth, a giant, also jotun [n -s]"
jotunns	"jotunn, in norse myth, a giant, also jotun [n]"
jotuns	"jotun, in norse myth, a giant, also jotunn [n]"
joual	"(french) a nonstandard, chiefly urban variety of french [n -s]"
jouals	"joual, (french) a nonstandard, chiefly urban variety of french [n]"
jougs	(scots) an old instrument of punishment consisting of a hinged iron collar locked round an offender's neck and attached by a chain to a wall or post [n]
jouisance	"(spenser) joyousness, also jouysaunce, jovysaunce [n -s]"
jouisances	"jouisance, (spenser) joyousness, also jouysaunce, jovysaunce [n]"
jouk	"(scots) to duck or dodge, also jook [v -ed, -ing, -s]"
jouked	"jouk, (scots) to duck or dodge, also jook [v]"
joukeries	"joukery, trickery, also jookery [n]"
joukery	"trickery, also jookery [n joukeries]"
jouking	"jouk, (scots) to duck or dodge, also jook [v]"
jouks	"jouk, (scots) to duck or dodge, also jook [v]"
joule	"to bump, also jole, joll, jowl [v jouled, jouling, joules]"
jouled	"joule, to bump, also jole, joll, jowl [v]"
joules	"joule, to bump, also jole, joll, jowl [v]"
jouling	"joule, to bump, also jole, joll, jowl [v]"
jounce	"to jolt, shake [v jounced, jouncing, jounces]"
jounced	"jounce, to jolt, shake [v]"
jounces	"jounce, to jolt, shake [v]"
jouncier	"jouncy, jolting [adj]"
jounciest	"jouncy, jolting [adj]"
jouncing	"jounce, to jolt, shake [v]"
jouncy	"jolting [adj jouncier, jounciest]"
jour	"(french) a day, as in jour de feste [n -s]"
journal	"a record of daily events [n -s] / to record in a journal [v journaled or journalled, journaling or journalling, journals]"
journaled	"journal, to record in a journal [v]"
journalese	the jargon of bad journalism [n -s]
journaleses	"journalese, the jargon of bad journalism [n]"
journaling	"journal, to record in a journal [v]"
journalisation	"the process of journalising, also journalization [n -s]"
journalisations	"journalisation, the process of journalising, also journalization [n]"
journalise	"to write for or in a journal, also journalize [v journalised, journalising, journalises]"
journalised	"journalise, to write for or in a journal, also journalize [v]"
journaliser	"one who journalises, also journalizer [n -s]"
journalisers	"journaliser, one who journalises, also journalizer [n]"
journalises	"journalise, to write for or in a journal, also journalize [v]"
journalising	"journalise, to write for or in a journal, also journalize [v]"
journalism	the collection and editing of news for presentation through the media [n -s]
journalisms	"journalism, the collection and editing of news for presentation through the media [n]"
journalist	a person engaged in journalism [n -s]
journalistic	"of, relating to, or characteristic of journalism or journalists [adj]"
journalists	"journalist, a person engaged in journalism [n]"
journalization	"the process of journalizing, also journalisation [n -s]"
journalizations	"journalization, the process of journalizing, also journalisation [n]"
journalize	"to enter or record in a journal or diary, also journalise [v journalized, journalizing, journalizes]"
journalized	"journalize, to enter or record in a journal or diary, also journalise [v]"
journalizer	"one who journalizes, also journaliser [n -s]"
journalizers	"journalizer, one who journalizes, also journaliser [n]"
journalizes	"journalize, to enter or record in a journal or diary, also journalise [v]"
journalizing	"journalize, to enter or record in a journal or diary, also journalise [v]"
journalled	"journal, to record in a journal [v]"
journalling	"journal, to record in a journal [v]"
journals	"journal, to record in a journal [v]"
journey	"to travel [v -ed, -ing, -s]"
journeyed	"journey, to travel [v]"
journeyer	one who journeys [n -s]
journeyers	"journeyer, one who journeys [n]"
journeying	"journey, to travel [v]"
journeyman	an experienced reliable worker or performer esp. as distinguished from one who is brilliant or colourful [n journeymen]
journeymen	"journeyman, an experienced reliable worker or performer esp. as distinguished from one who is brilliant or colourful [n]"
journeys	"journey, to travel [v]"
journeywork	work done by a journeyman [n -s]
journeyworks	"journeywork, work done by a journeyman [n]"
journo	(slang) a journalist [n -s]
journos	"journo, (slang) a journalist [n]"
jours	"jour, (french) a day, as in jour de feste [n]"
joust	"to engage in personal combat, also just [v -ed, -ing, -s]"
jousted	"joust, to engage in personal combat, also just [v]"
jouster	"one who jousts, also juster [n -s]"
jousters	"jouster, one who jousts, also juster [n]"
jousting	the act of fighting in a joust [n -s]
joustings	"jousting, the act of fighting in a joust [n]"
jousts	"joust, to engage in personal combat, also just [v]"
jouysaunce	"(spenser) joyousness, also jouisance, jovysaunce [n -s]"
jouysaunces	"jouysaunce, (spenser) joyousness, also jouisance, jovysaunce [n]"
jovial	good-humoured [adj jovially]
jovialities	"joviality, the state of being jovial, also jovialty [n]"
joviality	"the state of being jovial, also jovialty [n jovialities]"
jovially	"jovial, good-humoured [adv]"
jovialness	"noisy mirth, joviality [n -es]"
jovialnesses	"jovialness, noisy mirth, joviality [n]"
jovialties	"jovialty, the state of being jovial [n]"
jovialty	the state of being jovial [n jovialties]
jovysaunce	"(spenser) joyousness, also jouisance, jouysaunce [n -s]"
jovysaunces	"jovysaunce, (spenser) joyousness, also jouisance, jouysaunce [n]"
jow	"to ring, toll a bell [v -ed, -ing, -s]"
jowar	"indian millet, aka durra, also jawari, jowari [n -s]"
jowari	"indian millet, aka durra, also jowar, jawari [n -s]"
jowaris	"jowari, indian millet, aka durra, also jowar, jawari [n]"
jowars	"jowar, indian millet, aka durra, also jawari, jowari [n]"
jowed	"jow, to ring, toll a bell [v]"
jowing	"jow, to ring, toll a bell [v]"
jowl	"to bump, also jole, joll, joule [v -ed, -ing, -s]"
jowled	"jowl, to bump, also jole, joll, joule [v]"
jowler	a heavy-jawed hound [n -s]
jowlers	"jowler, a heavy-jawed hound [n]"
jowlier	"jowly, having prominent jowls [adj]"
jowliest	"jowly, having prominent jowls [adj]"
jowliness	the state of being jowly [n -es]
jowlinesses	"jowliness, the state of being jowly [n]"
jowling	"jowl, to bump, also jole, joll, joule [v]"
jowls	"jowl, to bump, also jole, joll, joule [v]"
jowly	"having prominent jowls [adj jowlier, jowliest]"
jows	"jow, to ring, toll a bell [v]"
joy	"to rejoice [v -ed, -ing, -s]"
joyance	delight [n -s]
joyances	"joyance, delight [n]"
joyed	"joy, to rejoice [v]"
joyful	"full of joy [adj joyfuller, joyfullest, joyfully]"
joyfuller	"joyful, full of joy [adj]"
joyfullest	"joyful, full of joy [adj]"
joyfully	"joyful, full of joy [adv]"
joyfulness	the state of being joyful [n -es]
joyfulnesses	"joyfulness, the state of being joyful [n]"
joying	"joy, to rejoice [v]"
joyless	without joy [adj joylessly]
joylessly	"joyless, without joy [adv]"
joylessness	the state of being joyless [n -es]
joylessnesses	"joylessness, the state of being joyless [n]"
joyous	joyful [adj joyously]
joyously	"joyous, joyful [adv]"
joyousness	the state of being joyous [n -es]
joyousnesses	"joyousness, the state of being joyous [n]"
joypad	"a device consisting of a pad with buttons on it, used for controlling the motion of objects in a computer game [n -s]"
joypads	"joypad, a device consisting of a pad with buttons on it, used for controlling the motion of objects in a computer game [n]"
joypop	"to use habit-forming drugs occasionally [v joypopped, joypopping, joypops]"
joypopped	"joypop, to use habit-forming drugs occasionally [v]"
joypopper	"one who joypops, uses habit-forming drugs occasionally [n -s]"
joypoppers	"joypopper, one who joypops, uses habit-forming drugs occasionally [n]"
joypopping	"joypop, to use habit-forming drugs occasionally [v]"
joypops	"joypop, to use habit-forming drugs occasionally [v]"
joyridden	"joyride, to take a ride for pleasure [v]"
joyride	"to take a ride for pleasure [v joyrode, joyridden, joyriding, joyrides]"
joyrider	one who joyrides [n -s]
joyriders	"joyrider, one who joyrides [n]"
joyrides	"joyride, to take a ride for pleasure [v]"
joyriding	"joyride, to take a ride for pleasure [v]"
joyridings	joyriding [n]
joyrode	"joyride, to take a ride for pleasure [v]"
joys	"joy, to rejoice [v]"
joystick	the control stick in an airplane [n -s]
joysticks	"joystick, the control stick in an airplane [n]"
juba	a negro rustic dance [n -s]
jubas	"juba, a negro rustic dance [n]"
jubate	having or possessing a mane [adj]
jubbah	"a long loose outer garment worn by muslims, also djibba, djibbah, jibba, jibbah, jubhah [n -s]"
jubbahs	"jubbah, a long loose outer garment worn by muslims, also djibba, djibbah, jibba, jibbah, jubhah [n]"
jube	"a rood-loft, or screen and gallery, in a church [n -s]"
jubes	"jube, a rood-loft, or screen and gallery, in a church [n]"
jubhah	"a long loose outer garment worn by muslims, also djibba, djibbah, jibba, jibbah, jubbah [n -s]"
jubhahs	"jubhah, a long loose outer garment worn by muslims, also djibba, djibbah, jibba, jibbah, jubbah [n]"
jubilance	"jubilation, also jubilancy [n -s]"
jubilances	"jubilance, jubilation, also jubilancy [n]"
jubilancies	"jubilancy, jubilation, also jubilance [n]"
jubilancy	"jubilation, also jubilance [n jubilancies]"
jubilant	exultant [adj jubilantly]
jubilantly	"jubilant, exultant [adv]"
jubilarian	one celebrating a jubilee [n -s]
jubilarians	"jubilarian, one celebrating a jubilee [n]"
jubilate	"to rejoice [v jubilated, jubilating, jubilates]"
jubilated	"jubilate, to rejoice [v]"
jubilates	"jubilate, to rejoice [v]"
jubilating	"jubilate, to rejoice [v]"
jubilation	an act of rejoicing [n -s]
jubilations	"jubilation, an act of rejoicing [n]"
jubile	"a celebration, also jubilee [n -s]"
jubilee	"a celebration, also jubile [n -s]"
jubilees	"jubilee, a celebration, also jubile [n]"
jubiles	"jubile, a celebration, also jubilee [n]"
juco	(us) junior college; an athlete at a junior college [n -s]
jucos	"juco, (us) junior college; an athlete at a junior college [n]"
jud	a mass of coal ready for removal [n -s]
judas	a peephole in a door [n -es]
judases	"judas, a peephole in a door [n]"
judder	"to vibrate, shudder esp. of a machine [v -ed, -ing, -s]"
juddered	"judder, to vibrate, shudder esp. of a machine [v]"
juddering	"judder, to vibrate, shudder esp. of a machine [v]"
judders	"judder, to vibrate, shudder esp. of a machine [v]"
juddery	given to juddering [adj]
judge	"to decide on critically [v judged, judging, judges]"
judgeable	able to be judged [adj]
judged	"judge, to decide on critically [v]"
judgeless	without a judge [adj]
judgelike	like a judge [adj]
judgement	"an act of judging, also judgment [n -s]"
judgemental	"giving to making judgements, also judgmental [adj judgementally]"
judgementally	"judgemental, giving to making judgements, also judgmental [adv]"
judgements	"judgement, an act of judging, also judgment [n]"
judger	one who judges [n -s]
judgers	"judger, one who judges [n]"
judges	"judge, to decide on critically [v]"
judgeship	the office of a judge [n -s]
judgeships	"judgeship, the office of a judge [n]"
judging	the act of making a judgment [n -s]
judgingly	judging [adv]
judgings	"judging, the act of making a judgment [n]"
judgmatic	"given to judgment, also judgmatical [adj judgmatically]"
judgmatical	"given to judgment, also judgmatic [adj judgmatically]"
judgmatically	"judgmatical, given to judgment, also judgmatic [adv]"
judgment	an opinion formed [n -s]
judgmental	"given to making judgements, also judgemental [adj judgmentally]"
judgmentally	"judgmental, given to making judgements, also judgemental [adv]"
judgments	"judgment, an opinion formed [n]"
judicable	capable of being judged or tried [adj]
judicare	government-paid legal services [n -s]
judicares	"judicare, government-paid legal services [n]"
judication	judgment [n -s]
judications	"judication, judgment [n]"
judicative	"having power to judge; as, the judicative faculty [adj]"
judicator	a person who judges [n -s]
judicatorial	relating to the judicatory [adj]
judicatories	"judicatory, the judicature, a court [n]"
judicators	"judicator, a person who judges [n]"
judicatory	"the judicature, a court [n judicatories]"
judicature	the power of dispensing justice by trial [n -s]
judicatures	"judicature, the power of dispensing justice by trial [n]"
judicial	pertaining to courts of law [adj judicially]
judicially	"judicial, pertaining to courts of law [adv]"
judiciaries	"judiciary, the judicial authorities of a country; judges collectively [n]"
judiciarily	"judiciary, having judicial power [adv]"
judiciary	the judicial authorities of a country; judges collectively [n judiciaries] / having judicial power [adj judiciarily]
