
ha	expressing surprise [interj]
hyperploidies	"hyperploidy, the state of being hyperploid, in excess of but not exact multiple of diploid [n]"
hyperploids	"hyperploid, a hyperploid organism [n]"
hyperploidy	"the state of being hyperploid, in excess of but not exact multiple of diploid [n hyperploidies]"
hyperpnea	"abnormally fast breathing, also hyperpnoea [n -s]"
hyperpneas	"hyperpnea, abnormally fast breathing, also hyperpnoea [n]"
hyperpneic	"relating to hyperpnea, abnormally fast breathing [adj]"
hyperpnoea	"abnormally fast breathing, also hyperpnea [n -s]"
hyperpnoeas	"hyperpnoea, abnormally fast breathing, also hyperpnea [n]"
hyperpolarise	"to increase the difference in electric potential across a cell membrane, also hyperpolarize [v hyperpolarised, hyperpolarising, hyperpolarises]"
hyperpolarised	"hyperpolarise, to increase the difference in electric potential across a cell membrane, also hyperpolarize [v]"
hyperpolarises	"hyperpolarise, to increase the difference in electric potential across a cell membrane, also hyperpolarize [v]"
hyperpolarising	"hyperpolarise, to increase the difference in electric potential across a cell membrane, also hyperpolarize [v]"
hyperpolarize	"to produce an increase in potential difference across a biological membrane, also hyperpolarise [v hyperpolarized, hyperpolarizing, hyperpolarizes]"
hyperpolarized	"hyperpolarize, to produce an increase in potential difference across a biological membrane, also hyperpolarise [v]"
hyperpolarizes	"hyperpolarize, to produce an increase in potential difference across a biological membrane, also hyperpolarise [v]"
hyperpolarizing	"hyperpolarize, to produce an increase in potential difference across a biological membrane, also hyperpolarise [v]"
hyperpower	a state that is vastly stronger than any potential rival [n -s]
hyperpowers	"hyperpower, a state that is vastly stronger than any potential rival [n]"
hyperproducer	an agent causing hyperproduction [n -s]
hyperproducers	"hyperproducer, an agent causing hyperproduction [n]"
hyperproduction	excessive production [n]
hyperprosexia	"abnormal powers of perception, as in australian aboriginal trackers [n -s]"
hyperprosexias	"hyperprosexia, abnormal powers of perception, as in australian aboriginal trackers [n]"
hyperpure	excessively pure [adj]
hyperpyretic	"suffering from hyperpyrexia, an extremely high fever [adj]"
hyperpyrexia	"an extremely high fever, with a temperature of 41c (106f) or above, also hyperthermy [n -s]"
hyperpyrexial	"showing hyperpyrexia, an extremely high fever [adj]"
hyperpyrexias	"hyperpyrexia, an extremely high fever, with a temperature of 41c (106f) or above, also hyperthermy [n]"
hyperrational	excessively rational [adj]
hyperreactive	excessively reactive [adj]
hyperreactivity	the state of being hyperreactive [n]
hyperreactor	one who reacts in the extreme [n -s]
hyperreactors	"hyperreactor, one who reacts in the extreme [n]"
hyperreal	involving particularly graphical representation [adj] / that which constitutes hyperreality [n -s]
hyperrealism	realism in art characterized by depiction of real life in an unusual or striking manner [n -s]
hyperrealisms	"hyperrealism, realism in art characterized by depiction of real life in an unusual or striking manner [n]"
hyperrealist	related to hyperrealism [adj] / a practitioner of hyperrealism [n -s]
hyperrealistic	relating to hyperrealism [adj]
hyperrealists	"hyperrealist, a practitioner of hyperrealism [n]"
hyperrealities	"hyperreality, the state of being hyperreal [n]"
hyperreality	the state of being hyperreal [n hyperrealities]
hyperreals	"hyperreal, that which constitutes hyperreality [n]"
hyperresponsive	excessively responsive [adj]
hyperromantic	one who is excessively romantic [n -s]
hyperromantics	"hyperromantic, one who is excessively romantic [n]"
hypers	"hyper, an excitable person [n]"
hypersaline	excessively saline [adj]
hypersalinities	"hypersalinity, excessive salinity [n]"
hypersalinity	excessive salinity [n hypersalinities]
hypersalivation	excessive salivation [n]
hypersarcoma	proud or fungous flesh [n hypersarcomas or hypersarcomata]
hypersarcomas	"hypersarcoma, proud or fungous flesh [n]"
hypersarcomata	"hypersarcoma, proud or fungous flesh [n]"
hypersarcoses	"hypersarcosis, proud or fungous flesh [n]"
hypersarcosis	proud or fungous flesh [n hypersarcoses]
hypersecretion	excessive secretion [n -s]
hypersecretions	"hypersecretion, excessive secretion [n]"
hypersensitise	"to make hypersensitive, also hypersensitize [v hypersensitised, hypersensitises]"
hypersensitised	"hypersensitise, to make hypersensitive, also hypersensitize [v]"
hypersensitises	"hypersensitise, to make hypersensitive, also hypersensitize [v]"
hypersensitive	excessively or abnormally sensitive [adj]
hypersensitize	"to make hypersensitive, also hypersensitise [v hypersensitized, hypersensitizes]"
hypersensitized	"hypersensitize, to make hypersensitive, also hypersensitise [v]"
hypersensitizes	"hypersensitize, to make hypersensitive, also hypersensitise [v]"
hypersensual	excessively sensual [adj]
hypersexual	excessively sexed [adj]
hypersexuality	the state of being hypersexual [n]
hypersomnia	a pathological tendency to sleep excessively [n -s]
hypersomnias	"hypersomnia, a pathological tendency to sleep excessively [n]"
hypersomnolence	the state of being excessively sleepy [n]
hypersonic	flying at more than five times the speed of sound [adj hypersonically]
hypersonically	"hypersonic, flying at more than five times the speed of sound [adv]"
hypersonics	hypersonic [n]
hyperspace	an imagined space having more than three dimensions [n -s]
hyperspaces	"hyperspace, an imagined space having more than three dimensions [n]"
hyperspatial	"relating to hyperspace, an imagined space having more than three dimensions [adj]"
hyperstatic	excessively static [adj]
hypersthene	a rock-forming orthorhombic silicate of magnesium and ferrous iron [n -s]
hypersthenes	"hypersthene, a rock-forming orthorhombic silicate of magnesium and ferrous iron [n]"
hypersthenia	a morbid condition marked by excessive excitement of all the vital phenomena [n -s]
hypersthenias	"hypersthenia, a morbid condition marked by excessive excitement of all the vital phenomena [n]"
hypersthenic	of or like hypersthene [adj]
hypersthenite	a pyroxenite composed almost wholly of hypersthene [n -s]
hypersthenites	"hypersthenite, a pyroxenite composed almost wholly of hypersthene [n]"
hyperstimulate	"to stimulate excessively [v hyperstimulated, hyperstimulates]"
hyperstimulated	"hyperstimulate, to stimulate excessively [v]"
hyperstimulates	"hyperstimulate, to stimulate excessively [v]"
hyperstress	excessive stress [n -es]
hyperstresses	"hyperstress, excessive stress [n]"
hypersurface	a figure that is the analogue in hyperspace of a surface in three-dimensional space [n -s]
hypersurfaces	"hypersurface, a figure that is the analogue in hyperspace of a surface in three-dimensional space [n]"
hypertense	excessively tense [adj]
hypertension	abnormally or excessively high pressure of arterial blood [n -s]
hypertensions	"hypertension, abnormally or excessively high pressure of arterial blood [n]"
hypertensive	suffering from or causing hypertension [adj] / someone suffering from hypertension [n -s]
hypertensives	"hypertensive, someone suffering from hypertension [n]"
hypertext	"computer software and hardware that allows users to create, store, and view text and move between related items easily and in a nonsequential way [n -s]"
hypertexts	"hypertext, computer software and hardware that allows users to create, store, and view text and move between related items easily and in a nonsequential way [n]"
hyperthermal	suffering from hyperthermia [adj]
hyperthermia	exceptionally high fever esp. when induced artificially for therapeutic purposes [n -s]
hyperthermias	"hyperthermia, exceptionally high fever esp. when induced artificially for therapeutic purposes [n]"
hyperthermic	relating to hyperthermia [adj]
hyperthermies	"hyperthermy, an extremely high fever, with a temperature of 41c (106f) or above, also hyperpyrexia [n]"
hyperthermy	"an extremely high fever, with a temperature of 41c (106f) or above, also hyperpyrexia [n hyperthermies]"
hyperthymia	excessive emotionalism [n -s]
hyperthymias	"hyperthymia, excessive emotionalism [n]"
hyperthyroid	one affected with hyperthyroidism [n -s]
hyperthyroidism	excessive functional activity of the thyroid gland [n]
hyperthyroids	"hyperthyroid, one affected with hyperthyroidism [n]"
hypertonia	excessive (muscle) tone [n -s]
hypertonias	"hypertonia, excessive (muscle) tone [n]"
hypertonic	having excessive muscle tone [adj]
hypertonicities	"hypertonicity, the condition of being hypertonic [n]"
hypertonicity	the condition of being hypertonic [n hypertonicities]
hypertrophic	"grown to an abnormal size, also hypertrophical [adj]"
hypertrophical	"grown to an abnormal size, also hypertrophic [adj]"
hypertrophied	grown to an abnormal size [adj]
hypertrophies	"hypertrophy, excessive growth of a part [n]"
hypertrophous	"of an organ, abnormally enlarged [adj]"
hypertrophy	"excessive growth of a part [n hypertrophies] / to grow to abnormal size [v hypertrophied, hypertrophying, hypertrophies]"
hypertrophying	"hypertrophy, to grow to abnormal size [v]"
hypertypical	excessively typical [adj]
hyperurbanism	"use of hypercorrect forms in language; also, such a form [adj]"
hyperurbanisms	hyperurbanism [n]
hyperuricaemia	"an abnormal elevation of uric acid in the blood, also hyperuricemia [n -s]"
hyperuricaemias	"hyperuricaemia, an abnormal elevation of uric acid in the blood, also hyperuricemia [n]"
hyperuricemia	"excess uric acid in the blood, also hyperuricaemia [n -s]"
hyperuricemias	"hyperuricemia, excess uric acid in the blood, also hyperuricaemia [n]"
hypervelocities	"hypervelocity, a high or relatively high velocity, as thousands of feet or meters per second [n]"
hypervelocity	"a high or relatively high velocity, as thousands of feet or meters per second [n hypervelocities]"
hyperventilate	"to breathe rapidly and deeply [v hyperventilated, hyperventilates]"
hyperventilated	"hyperventilate, to breathe rapidly and deeply [v]"
hyperventilates	"hyperventilate, to breathe rapidly and deeply [v]"
hypervigilance	extreme vigilance [n -s]
hypervigilances	"hypervigilance, extreme vigilance [n]"
hypervigilant	extremely vigilant [adj]
hypervirulent	extremely virulent [adj]
hyperviscosity	extreme viscosity [n]
hypes	"hype, to stimulate artificially [v]"
hypester	a person or organisation that gives a product intense publicity in order to promote it [n -s]
hypesters	"hypester, a person or organisation that gives a product intense publicity in order to promote it [n]"
hypesthesia	"a reduced sensibility to touch, also hypaesthesia [n -s]"
hypesthesias	"hypesthesia, a reduced sensibility to touch, also hypaesthesia [n]"
hypesthesic	"showing hypesthesia, a reduced sensibility to touch [adj]"
hypethral	"roofless; open to the sky (usually intentionally, so as to see the stars), also hupaithric, hypaethral, upaithric [adj]"
hypha	a threadlike element of a fungus [n hyphae]
hyphae	"hypha, a threadlike element of a fungus [n]"
hyphal	"of or like hyphae, threadlike elements forming the mycelium of a fungus [adj]"
hyphemia	a blood deficiency [n -s]
hyphemias	"hyphemia, a blood deficiency [n]"
hyphen	"to connect words with a punctuation mark [v -ed, -ing, -s]"
hyphenate	"to insert a hyphen into [v hyphenated, hyphenating, hyphenates]"
hyphenated	"hyphenate, to insert a hyphen into [v]"
hyphenates	"hyphenate, to insert a hyphen into [v]"
hyphenating	"hyphenate, to insert a hyphen into [v]"
hyphenation	the act of hyphenating [n -s]
hyphenations	"hyphenation, the act of hyphenating [n]"
hyphened	"hyphen, to connect words with a punctuation mark [v]"
hyphenic	pertaining to a hyphen [adj]
hyphening	"hyphen, to connect words with a punctuation mark [v]"
hyphenisation	"the process of hyphenising, also hyphenization [n -s]"
hyphenisations	"hyphenisation, the process of hyphenising, also hyphenization [n]"
hyphenise	"to put a hyphen in, also hyphenize [v hyphenised, hyphenising, hyphenises]"
hyphenised	"hyphenise, to put a hyphen in, also hyphenize [v]"
hyphenises	"hyphenise, to put a hyphen in, also hyphenize [v]"
hyphenising	"hyphenise, to put a hyphen in, also hyphenize [v]"
hyphenism	the practice of inserting hyphens [n -s]
hyphenisms	"hyphenism, the practice of inserting hyphens [n]"
hyphenization	"the process of hyphenizing, also hyphenisation [n -s]"
hyphenizations	"hyphenization, the process of hyphenizing, also hyphenisation [n]"
hyphenize	"to put a hyphen in, also hyphenise [v hyphenized, hyphenizing, hyphenizes]"
hyphenized	"hyphenize, to put a hyphen in, also hyphenise [v]"
hyphenizes	"hyphenize, to put a hyphen in, also hyphenise [v]"
hyphenizing	"hyphenize, to put a hyphen in, also hyphenise [v]"
hyphenless	without a hyphen [adj]
hyphens	"hyphen, to connect words with a punctuation mark [v]"
hyphies	"hyphy, a style of hip-hop music originating in the bay area of san francisco [n]"
hyphy	a style of hip-hop music originating in the bay area of san francisco [n hyphies]
hyping	the act of hyping [n -s]
hypings	"hyping, the act of hyping [n]"
hypinoses	"hypinosis, a diminution in the normal amount of fibrin present in the blood [n]"
hypinosis	a diminution in the normal amount of fibrin present in the blood [n hypinoses]
hypnagogic	"of, relating to, or occurring in the period of drowsiness immediately preceding sleep, also hypnogogic [adj]"
hypnic	a soporific [n -s]
hypnics	"hypnic, a soporific [n]"
hypnoanalyses	"hypnoanalysis, psychoanalysis conducted on a hypnotized person [n]"
hypnoanalysis	psychoanalysis conducted on a hypnotized person [n hypnoanalyses]
hypnoanalytic	"related to hypnoanalysis, psychoanalysis conducted on a hypnotized person [adj]"
hypnobirthing	the use of hypnotic technique during labour by an expectant mother to reduce the pain and emotional stress of delivery [n -s]
hypnobirthings	"hypnobirthing, the use of hypnotic technique during labour by an expectant mother to reduce the pain and emotional stress of delivery [n]"
hypnogeneses	"hypnogenesis, production of the hypnotic state, also hypnogeny [n]"
hypnogenesis	"production of the hypnotic state, also hypnogeny [n hypnogeneses]"
hypnogenetic	"relating to the production of hypnotic sleep, also hypnogenic, hypnogenous [adj]"
hypnogenic	"relating to the production of hypnotic sleep, also hypnogenetic, hypnogenous [adj]"
hypnogenies	"hypnogeny, production of the hypnotic state, also hypnogenesis [n]"
hypnogenous	"relating to the production of hypnotic sleep, also hypnogenetic, hypnogenic [adj]"
hypnogeny	"production of the hypnotic state, also hypnogenesis [n hypnogenies]"
hypnogogic	"of, relating to, or occurring in the period of drowsiness immediately preceding sleep, also hypnagogic [adj]"
hypnoid	"like sleep or hypnosis, also hypnoidal [adj]"
hypnoidal	"like sleep or hypnosis, also hypnoid [adj]"
hypnoidise	"to put in the hypnoidal state, also hypnoidize [v hypnoidised, hypnoidising, hypnoidises]"
hypnoidised	"hypnoidise, to put in the hypnoidal state, also hypnoidize [v]"
hypnoidises	"hypnoidise, to put in the hypnoidal state, also hypnoidize [v]"
hypnoidising	"hypnoidise, to put in the hypnoidal state, also hypnoidize [v]"
hypnoidize	"to put in the hypnoidal state, also hypnoidise [v hypnoidized, hypnoidizing, hypnoidizes]"
hypnoidized	"hypnoidize, to put in the hypnoidal state, also hypnoidise [v]"
hypnoidizes	"hypnoidize, to put in the hypnoidal state, also hypnoidise [v]"
hypnoidizing	"hypnoidize, to put in the hypnoidal state, also hypnoidise [v]"
hypnologic	"relating to hypnology, the study of sleep or hypnosis, also hypnological [adj]"
hypnological	"relating to hypnology, the study of sleep or hypnosis, also hypnologic [adj]"
hypnologies	"hypnology, the study of sleep or hypnosis [n]"
hypnologist	one who studies sleep [n -s]
hypnologists	"hypnologist, one who studies sleep [n]"
hypnology	the study of sleep or hypnosis [n hypnologies]
hypnone	an aromatic ketone used as a hypnotic [n -s]
hypnones	"hypnone, an aromatic ketone used as a hypnotic [n]"
hypnopaedia	training or instruction during sleep [n -s]
hypnopaedias	"hypnopaedia, training or instruction during sleep [n]"
hypnopompic	pertaining to the semiconscious state before waking [adj]
hypnoses	"hypnosis, an artificially induced state resembling sleep [n]"
hypnosis	an artificially induced state resembling sleep [n hypnoses]
hypnotee	a hypnotized person [n -s]
hypnotees	"hypnotee, a hypnotized person [n]"
hypnotherapies	"hypnotherapy, therapy involving the use of hypnotism [n]"
hypnotherapist	one who practises hypnotherapy [n -s]
hypnotherapists	"hypnotherapist, one who practises hypnotherapy [n]"
hypnotherapy	therapy involving the use of hypnotism [n hypnotherapies]
hypnotic	relating to hypnosis [adj hypnotically] / a soporific; a person in a state of hypnosis [n -s]
hypnotically	"hypnotic, relating to hypnosis [adv]"
hypnotics	"hypnotic, a soporific; a person in a state of hypnosis [n]"
hypnotisability	"the quality of being hypnotisable, also hypnotizability [n]"
hypnotisable	"capable of being hypnotised, also hypnotizable [adj]"
hypnotisation	"the process of hypnotising, also hypnotization [n -s]"
hypnotisations	"hypnotisation, the process of hypnotising, also hypnotization [n]"
hypnotise	"to put in a state of hypnosis, also hypnotize [v hypnotised, hypnotising, hypnotises]"
hypnotised	"hypnotise, to put in a state of hypnosis, also hypnotize [v]"
hypnotiser	"one who hypnotises, also hypnotizer [n -s]"
hypnotisers	"hypnotiser, one who hypnotises, also hypnotizer [n]"
hypnotises	"hypnotise, to put in a state of hypnosis, also hypnotize [v]"
hypnotising	"hypnotise, to put in a state of hypnosis, also hypnotize [v]"
hypnotism	the science or practice of hypnosis [n -s]
hypnotisms	"hypnotism, the science or practice of hypnosis [n]"
hypnotist	one who practises hypnotism [n -s]
hypnotistic	relating to a hypnotist [adj]
hypnotists	"hypnotist, one who practises hypnotism [n]"
hypnotizability	"the state of being hypnotizable, also hypnotisability [n]"
hypnotizable	"capable of being hypnotized, also hypnotisable [adj]"
hypnotization	"the process of hypnotizing, also hypnotisation [n -s]"
hypnotizations	"hypnotization, the process of hypnotizing, also hypnotisation [n]"
hypnotize	"to put in a state of hypnosis, also hypnotise [v hypnotized, hypnotizing, hypnotizes]"
hypnotized	"hypnotize, to put in a state of hypnosis, also hypnotise [v]"
hypnotizer	"one who hypnotizes, also hypnotiser [n -s]"
hypnotizers	"hypnotizer, one who hypnotizes, also hypnotiser [n]"
hypnotizes	"hypnotize, to put in a state of hypnosis, also hypnotise [v]"
hypnotizing	"hypnotize, to put in a state of hypnosis, also hypnotise [v]"
hypnotoid	like hypnosis [adj]
hypnum	a type of moss [n hypnums]
hypnums	"hypnum, a type of moss [n]"
hypo	"(colloquial) to inject with a hypodermic needle [v -ed, -ing, -s]"
hypoacid	having a lower than normal degree of acidity [adj]
hypoacidities	"hypoacidity, abnormally low acidity, as of the contents of the stomach [n]"
hypoacidity	"abnormally low acidity, as of the contents of the stomach [n hypoacidities]"
hypoaeolian	"in greek music, below the aeolian mode [adj]"
hypoallergenic	having little likelihood of causing an allergic response [adj]
hypobaric	below normal pressure [adj]
hypoblast	the inner or lower layer of the blastoderm [n -s]
hypoblastic	"relating to the hypoblast, the inner or lower layer of the blastoderm [adj]"
hypoblasts	"hypoblast, the inner or lower layer of the blastoderm [n]"
hypobole	the anticipation and refutal of objections to an argument [n -s]
hypoboles	"hypobole, the anticipation and refutal of objections to an argument [n]"
hypocalcaemia	"a deficiency of calcium in the blood, also hypocalcemia [n -s]"
hypocalcaemias	"hypocalcaemia, a deficiency of calcium in the blood, also hypocalcemia [n]"
hypocalcaemic	"relating to hypocalcaemia, a deficiency of calcium in the blood, also hypocalcemic [adj]"
hypocalcemia	"a deficiency of calcium in the blood, also hypocalcaemia [n -s]"
hypocalcemias	"hypocalcemia, a deficiency of calcium in the blood, also hypocalcaemia [n]"
hypocalcemic	"relating to hypocalcemia, also hypocalcaemic [adj]"
hypocaust	an ancient air chamber or series of chambers for heating rooms [n -s]
hypocausts	"hypocaust, an ancient air chamber or series of chambers for heating rooms [n]"
hypocenter	the point under the earth's surface where the energy of an earthquake is first released [n -s]
hypocenters	"hypocenter, the point under the earth's surface where the energy of an earthquake is first released [n]"
hypocentral	relating to a hypocenter [adj]
hypocentre	the point on the earth directly below the centre of a nuclear explosion [n -s]
hypocentres	"hypocentre, the point on the earth directly below the centre of a nuclear explosion [n]"
hypochlorite	a salt of hypochlorous acid [n -s]
hypochlorites	"hypochlorite, a salt of hypochlorous acid [n]"
hypochlorous	of or derived from hypochlorous acid [adj]
hypochondria	suffering from imaginary illness [n -s]
hypochondriac	one who suffers from hypochondria [n -s]
hypochondriacal	affected or produced by hypochondria [adj]
hypochondriacs	"hypochondriac, one who suffers from hypochondria [n]"
hypochondrias	"hypochondria, suffering from imaginary illness [n]"
hypochondriases	"hypochondriasis, morbid concern about one's health esp. when accompanied by delusions of physical disease [n]"
hypochondriasis	morbid concern about one's health esp. when accompanied by delusions of physical disease [n hypochondriases]
hypochondriasm	hypochondria [n -s]
hypochondriasms	"hypochondriasm, hypochondria [n]"
hypochondriast	a hypochondriac [n -s]
hypochondriasts	"hypochondriast, a hypochondriac [n]"
hypochondrium	either of two regions of the upper part of the abdomen [n hypochondria]
hypocist	a plant parasitic on cistus roots [n -s]
hypocists	"hypocist, a plant parasitic on cistus roots [n]"
hypocorism	"the use of a pet name or nickname, also hypocorisma [n -s]"
hypocorisma	"the use of a pet name or nickname, also hypocorism [n -s]"
hypocorismas	"hypocorisma, the use of a pet name or nickname, also hypocorism [n]"
hypocorisms	"hypocorism, the use of a pet name or nickname, also hypocorisma [n]"
hypocoristic	"of or like hypocorism, also hypocoristical [adj]"
hypocoristical	"of or like hypocorism, also hypocoristic [adj]"
hypocotyl	the stem of a plant below the cotyledons [n -s]
hypocotylous	"of or like a hypocotyl, the stem of a plant below the cotyledons [adj]"
hypocotyls	"hypocotyl, the stem of a plant below the cotyledons [n]"
hypocrisies	"hypocrisy, a feigning to be better than one is, or to be what one is not [n]"
hypocrisy	"a feigning to be better than one is, or to be what one is not [n hypocrisies]"
hypocrite	one who pretends to be better or other than they are [n -s]
hypocrites	"hypocrite, one who pretends to be better or other than they are [n]"
hypocritic	"characterized by hypocrisy, also hypocritical [adj hypocritically]"
hypocritical	"characterized by hypocrisy, also hypocritic [adj hypocritically]"
hypocritically	"hypocritical, characterized by hypocrisy, also hypocritic [adv]"
hypocrystalline	"of igneous rocks, having both glass and crystalline components [adj]"
hypocycloid	a curve generated by a point on the circumference of a circle which rolls on the inside of another circle [n -s]
hypocycloidal	of or like a hypocycloid [adj]
hypocycloids	"hypocycloid, a curve generated by a point on the circumference of a circle which rolls on the inside of another circle [n]"
hypoderm	"the tissue next under the epidermis, also hypodermis [n -s]"
hypoderma	"a layer of tissue beneath the epidermis in plants, and performing the physiological function of strengthening the epidermal tissue [n -s]"
hypodermal	"relating to the hypodermis, the layer of skin just below the epidermis [adj]"
hypodermas	"hypoderma, a layer of tissue beneath the epidermis in plants, and performing the physiological function of strengthening the epidermal tissue [n]"
hypodermic	of or pertaining to the parts under the skin [adj hypodermically] / a drug so injected [n -s]
hypodermically	"hypodermic, of or pertaining to the parts under the skin [adv]"
hypodermics	"hypodermic, a drug so injected [n]"
hypodermis	"the layer of skin just below the epidermis, also hypoderm [n -es]"
hypodermises	"hypodermis, the layer of skin just below the epidermis, also hypoderm [n]"
hypoderms	"hypoderm, the tissue next under the epidermis, also hypodermis [n]"
hypodiploid	having slightly fewer than the diploid number of chromosomes [adj]
hypodiploidies	"hypodiploidy, the state of being hypodiploid, having slightly fewer than the diploid number of chromosomes [n]"
hypodiploidy	"the state of being hypodiploid, having slightly fewer than the diploid number of chromosomes [n hypodiploidies]"
hypodorian	relating to a mode in ancient greek music [adj]
hypoed	"hypo, (colloquial) to inject with a hypodermic needle [v]"
hypoeutectic	"of a compound, containing less of the minor component than a eutectic compound [adj]"
hypoeutectoid	"of a compound, containing less of the minor component than a eutectic compound [adj]"
hypogaea	"hypogaeum, an underground chamber, also hypogeum [n]"
hypogaeal	"germinating with cotyledons underground, also hypogaean, hypogaeous, hypogeal, hypogean, hypogeous [adj]"
hypogaean	"germinating with cotyledons underground, also hypogaeal, hypogaeous, hypogeal, hypogean, hypogeous [adj]"
hypogaeous	"germinating with cotyledons underground, also hypogaeal, hypogaean, hypogeal, hypogean, hypogeous [adj]"
hypogaeum	"an underground chamber, also hypogeum [n hypogaea]"
hypogastria	"hypogastrium, (latin) the lower middle abdominal region [n]"
hypogastric	pertaining to lower middle abdominal region [adj]
hypogastrium	(latin) the lower middle abdominal region [n hypogastria]
hypogea	"hypogeum, an underground chamber, also hypogaeum [n]"
hypogeal	"germinating with cotyledons underground, also hypogaeal, hypogaean, hypogaeous, hypogean, hypogeous [adj]"
hypogean	"germinating with cotyledons underground, also hypogaeal, hypogaean, hypogaeous, hypogeal, hypogeous [adj]"
hypogene	"formed or occurring beneath the surface of the earth, as opposed to epigene, also hypogenic [adj]"
hypogenic	"formed or occurring beneath the surface of the earth, also hypogene [adj]"
hypogenous	"produced or growing on the undersurface, esp. (of fern spores) growing on the undersurface of the leaves [adj]"
hypogeous	"germinating with cotyledons underground, also hypogaeal, hypogaean, hypogaeous, hypogeal, hypogean [adj]"
hypogeum	"an underground chamber, also hypogaeum [n hypogea]"
hypoglossal	of or relating to the hypoglossal nerves [adj] / the hypoglossal nerve [n -s]
hypoglossals	"hypoglossal, the hypoglossal nerve [n]"
hypoglycaemia	"abnormal decrease of sugar in the blood, also hypoglycemia [n -s]"
hypoglycaemias	"hypoglycaemia, abnormal decrease of sugar in the blood, also hypoglycemia [n]"
hypoglycaemic	"pertaining to or characterized by hypoglycaemia; (of a drug etc.) promoting the reduction of blood-sugar levels, also hypoglycemic [adj]"
hypoglycemia	"abnormal decrease of sugar in the blood, also hypoglycaemia [n -s]"
hypoglycemias	"hypoglycemia, abnormal decrease of sugar in the blood, also hypoglycaemia [n]"
hypoglycemic	"having low blood-sugar [adj] / someone with low blood sugar, also hypoglycaemic [n -s]"
hypoglycemics	"hypoglycemic, someone with low blood sugar, also hypoglycaemic [n]"
hypognathism	the state of being hypognathous [n -s]
hypognathisms	"hypognathism, the state of being hypognathous [n]"
hypognathous	having the lower jaw or mandible protruding [adj]
hypogynies	"hypogyny, the condition of having flowers with organs below the ovary [n]"
hypogynous	growing from beneath the ovary; having the other floral parts below the ovary [adj]
hypogyny	the condition of having flowers with organs below the ovary [n hypogynies]
hypoid	a type of bevel gear in which driving and driven shafts are at right angles but not in the same plane [n -s]
hypoids	"hypoid, a type of bevel gear in which driving and driven shafts are at right angles but not in the same plane [n]"
hypoing	"hypo, (colloquial) to inject with a hypodermic needle [v]"
hypokalemia	a deficiency of potassium in the blood [n -s]
hypokalemias	"hypokalemia, a deficiency of potassium in the blood [n]"
hypokalemic	"relating to hypokalemia, a deficiency of potassium in the blood [adj]"
hypolimnia	"hypolimnion, a lower and colder layer of water in a lake [n]"
hypolimnion	a lower and colder layer of water in a lake [n hypolimnions or hypolimnia]
hypolimnions	"hypolimnion, a lower and colder layer of water in a lake [n]"
hypolydian	relating to a mode in ancient greek music [adj]
hypomagnesaemia	"a deficiency of magnesium in the blood, also hypomagnesemia [n]"
hypomagnesemia	"a deficiency of magnesium in the blood, also hypomagnesaemia [n -s]"
hypomagnesemias	"hypomagnesemia, a deficiency of magnesium in the blood, also hypomagnesaemia [n]"
hypomania	slightly abnormal overactivity and elation [n -s]
hypomanias	"hypomania, slightly abnormal overactivity and elation [n]"
hypomanic	"relating to hypomania, a mild form of mania [adj] / one afflicted with hypomania [n -s]"
hypomanics	"hypomanic, one afflicted with hypomania [n]"
hypomenorrhea	"the condition in which the interval between two menstrual periods is increased to between 35 and 42 days, also hypomenorrhoea [n -s]"
hypomenorrheas	"hypomenorrhea, the condition in which the interval between two menstrual periods is increased to between 35 and 42 days, also hypomenorrhoea [n]"
hypomenorrhoea	"the condition in which the interval between two menstrual periods is increased to between 35 and 42 days, also hypomenorrhea [n hypomenorrheas]"
hypomenorrhoeas	"hypomenorrhoea, the condition in which the interval between two menstrual periods is increased to between 35 and 42 days, also hypomenorrhea [n]"
hypomixolydian	applied in old church music to a mode extending from d to d with g as its final [adj]
hypomorph	a mutant gene but having a similar but weaker effect than the corresponding wild-type gene [n -s]
hypomorphic	"of a mutation, causing a partial loss of gene function [adj]"
hypomorphs	"hypomorph, a mutant gene but having a similar but weaker effect than the corresponding wild-type gene [n]"
hyponastic	"relating to hyponasty, a tendency in part of a plant to grow more rapidly on the underside [adj hyponastically]"
hyponastically	"hyponastic, relating to hyponasty, a tendency in part of a plant to grow more rapidly on the underside [adv]"
hyponasties	"hyponasty, a tendency in part of a plant to grow more rapidly on the underside, so that it curves upwards [n]"
hyponasty	"a tendency in part of a plant to grow more rapidly on the underside, so that it curves upwards [n hyponasties]"
hyponatraemia	deficiency of sodium in the blood [n -s]
hyponatraemias	"hyponatraemia, deficiency of sodium in the blood [n]"
hyponea	"a dulled mental activity, also hyponoia [n -s]"
hyponeas	"hyponea, a dulled mental activity, also hyponoia [n]"
hyponitrite	a salt or ester of hyponitrous acid [n -s]
hyponitrites	"hyponitrite, a salt or ester of hyponitrous acid [n]"
hyponitrous	containing or derived from nitrogen having a lower valence than in nitrous compounds [adj]
hyponoia	"a dulled mental activity, also hyponea [n -s]"
hyponoias	"hyponoia, a dulled mental activity, also hyponea [n]"
hyponym	one of several terms subsumed under another [n -s]
hyponymies	"hyponymy, the formation of hyponyms [n]"
hyponyms	"hyponym, one of several terms subsumed under another [n]"
hyponymy	the formation of hyponyms [n hyponymies]
hypopharynges	"hypopharynx, an appendage or thickened fold on the floor of the mouth of many insects that resembles a tongue [n]"
