
ma	(colloquial) mother [n -s]
mouthbrooders	"mouthbrooder, a cichlid fish that carries its young in its mouth for protection, also mouthbreeder [n]"
mouthed	"mouth, to feed into an opening in the head [v]"
mouther	one who mouths; an affected speaker [n -s]
mouthers	"mouther, one who mouths; an affected speaker [n]"
mouthfeel	the sensory perception of a particular food while chewing [n -s]
mouthfeels	"mouthfeel, the sensory perception of a particular food while chewing [n]"
mouthful	as much as a mouth can hold [n -s]
mouthfuls	"mouthful, as much as a mouth can hold [n]"
mouthier	"mouthy, outspoken, obstreperous [adj]"
mouthiest	"mouthy, outspoken, obstreperous [adj]"
mouthily	"mouthy, outspoken, obstreperous [adv]"
mouthing	"mouth, to feed into an opening in the head [v]"
mouthless	destitute of a mouth [adj]
mouthlike	like a mouth [adj]
mouthpart	part of a mouth [n -s]
mouthparts	"mouthpart, part of a mouth [n]"
mouthpiece	something placed at or forming a mouth [n -s]
mouthpieces	"mouthpiece, something placed at or forming a mouth [n]"
mouths	"mouth, to feed into an opening in the head [v]"
mouthwash	an antiseptic solution for cleansing the mouth and for gargling with [n -es]
mouthwashes	"mouthwash, an antiseptic solution for cleansing the mouth and for gargling with [n]"
mouthwatering	arousing the appetite [adj mouthwateringly]
mouthwateringly	"mouthwatering, arousing the appetite [adv]"
mouthy	"outspoken, obstreperous [adj mouthier, mouthiest, mouthily]"
mouton	(french) a sheepskin processed to look like the fur of another animal [n -s]
moutonnee	"(french) of a rock, rounded by the action of a glacier [adj]"
moutons	"mouton, (french) a sheepskin processed to look like the fur of another animal [n]"
mouvemente	"(french) full of movement, lively [adj]"
movabilities	"movability, the ability to be moved, also moveability [n]"
movability	"the ability to be moved, also moveability [n movabilities]"
movable	"something that can be moved, also moveable [n -s]"
movableness	"the state of being movable, also moveableness [n -es]"
movablenesses	"movableness, the state of being movable, also moveableness [n]"
movables	"movable, something that can be moved, also moveable [n]"
movably	"so as to be capable of being moved, also moveably [adv]"
movant	a person who applies to a court for a favorable ruling [n -s]
movants	"movant, a person who applies to a court for a favorable ruling [n]"
move	"to change from one position to another [v moved, moving, moves]"
moveabilities	"moveability, the ability to be moved, also movability [n]"
moveability	"the ability to be moved, also movability [n moveabilities]"
moveable	"something that can be moved, also movable [n -s]"
moveableness	"the state of being moveable, also movableness [n -es]"
moveablenesses	"moveableness, the state of being moveable, also movableness [n]"
moveables	"moveable, something that can be moved, also movable [n]"
moveably	"so as to be capable of being moved, also movably [adv]"
moved	"move, to change from one position to another [v]"
moveless	incapable of movement [adj movelessly]
movelessly	"moveless, incapable of movement [adv]"
movelessness	the state of being moveless [n -es]
movelessnesses	"movelessness, the state of being moveless [n]"
movement	the act of moving [n -s]
movements	"movement, the act of moving [n]"
mover	one that moves [n -s]
movers	"mover, one that moves [n]"
moves	"move, to change from one position to another [v]"
movie	a motion picture [n -s]
moviedom	the world of the movies [n -s]
moviedoms	"moviedom, the world of the movies [n]"
moviegoer	one who goes to the movies [n -s]
moviegoers	"moviegoer, one who goes to the movies [n]"
moviegoing	attendance at the movies [n -s]
moviegoings	"moviegoing, attendance at the movies [n]"
movieland	the world of the movies [n -s]
movielands	"movieland, the world of the movies [n]"
moviemaker	one who makes movies [n -s]
moviemakers	"moviemaker, one who makes movies [n]"
moviemaking	the act of making movies [n -s]
moviemakings	"moviemaking, the act of making movies [n]"
movieoke	"like karaoke, but acting out movie scenes [n -s]"
movieokes	"movieoke, like karaoke, but acting out movie scenes [n]"
movieola	"(tradename) a brand of film-editing machine, also moviola [n -s]"
movieolas	"movieola, (tradename) a brand of film-editing machine, also moviola [n]"
movies	"movie, a motion picture [n]"
moving	"move, to change from one position to another [v]"
movingly	so as to affect the emotions [adv]
moviola	"(tradename) a brand of film-editing machine, also movieola [n -s]"
moviolas	"moviola, (tradename) a brand of film-editing machine, also movieola [n]"
mow	"to cut down a crop [v mowed, mown, mowing, mows]"
mowa	"(hindi) a kind of butter-tree with edible flowers, also mahua, mahwa, mowra [n -s]"
mowas	"mowa, (hindi) a kind of butter-tree with edible flowers, also mahua, mahwa, mowra [n]"
mowburn	"to heat and ferment [v mowburned, mowburnt, mowburning, mowburns]"
mowburned	"mowburn, to heat and ferment [v]"
mowburning	the fermenting of hay when housed too green [n -s]
mowburnings	"mowburning, the fermenting of hay when housed too green [n]"
mowburns	"mowburn, to heat and ferment [v]"
mowburnt	"mowburn, to heat and ferment [v]"
mowdie	"(scots) a mole, also modiwort, moldwarp, moudiewart, moudiewort, moudiwart, moudiwort, mouldwarp, mouldywarp, mowdiewart, mowdiewort [n -s]"
mowdies	"mowdie, (scots) a mole, also modiwort, moldwarp, moudiewart, moudiewort, moudiwart, moudiwort, mouldwarp, mouldywarp, mowdiewart, mowdiewort [n]"
mowdiewart	"(dialect) a mole, also modiwort, moldwarp, moudiewart, moudiewort, moudiwart, moudiwort, mouldwarp, mouldywarp, mowdie, mowdiewort [n -s]"
mowdiewarts	"mowdiewart, (dialect) a mole, also modiwort, moldwarp, moudiewart, moudiewort, moudiwart, moudiwort, mouldwarp, mouldywarp, mowdie, mowdiewort [n]"
mowdiewort	"(dialect) a mole, also modiwort, moldwarp, moudiewart, moudiewort, moudiwart, moudiwort, mouldwarp, mouldywarp, mowdie, mowdiewart [n -s]"
mowdieworts	"mowdiewort, (dialect) a mole, also modiwort, moldwarp, moudiewart, moudiewort, moudiwart, moudiwort, mouldwarp, mouldywarp, mowdie, mowdiewart [n]"
mowed	"mow, to cut down a crop [v]"
mower	one that mows [n -s]
mowers	"mower, one that mows [n]"
mowing	the act of mowing [n -s]
mowings	"mowing, the act of mowing [n]"
mown	"mow, to cut down a crop [v]"
mowra	"(hindi) a kind of butter-tree with edible flowers, also mahua, mahwa, mowa [n -s]"
mowras	"mowra, (hindi) a kind of butter-tree with edible flowers, also mahua, mahwa, mowa [n]"
mows	"mow, to cut down a crop [v]"
moxa	"(japanese) a soft woolly mass prepared from the young leaves of artemisia chinensis, and used as a cautery by burning it on the skin [n -s]"
moxas	"moxa, (japanese) a soft woolly mass prepared from the young leaves of artemisia chinensis, and used as a cautery by burning it on the skin [n]"
moxibustion	cauterization by use of moxa [n -s]
moxibustions	"moxibustion, cauterization by use of moxa [n]"
moxie	"(us slang) courage, daring, vigour [n -s]"
moxies	"moxie, (us slang) courage, daring, vigour [n]"
moy	(shakespeare) a coin or a measure [n -s]
moya	a volcanic mud [n -s]
moyas	"moya, a volcanic mud [n]"
moygashel	an irish linen; a garment made from this type of irish linen [n -ls]
moygashels	"moygashel, an irish linen; a garment made from this type of irish linen [n]"
moyities	"moyity, (spenser) moiety [n]"
moyity	(spenser) moiety [n moyities]
moyl	"(obsolete) a mule, also moil, moyle, mule [n -s]"
moyle	"to moil, toil [v moyled, moyling, moyles]"
moyled	"moyle, to moil, toil [v]"
moyles	"moyle, to moil, toil [v]"
moyling	"moyle, to moil, toil [v]"
moyls	"moyl, (obsolete) a mule, also moil, moyle, mule [n]"
moys	"moy, (shakespeare) a coin or a measure [n]"
moz	"(australian slang) bad luck, also mozz [n mozzes]"
moze	"to raise a nap on [v mozed, mozing, mozes]"
mozed	"moze, to raise a nap on [v]"
mozes	"moze, to raise a nap on [v]"
mozetta	"(italian) a hooded cape worn by bishops, also mozzetta [n mozettas or mozette]"
mozettas	"mozetta, (italian) a hooded cape worn by bishops, also mozzetta [n]"
mozette	"mozetta, (italian) a hooded cape worn by bishops, also mozzetta [n]"
mozing	"moze, to raise a nap on [v]"
mozo	a manual labourer [n -s]
mozos	"mozo, a manual labourer [n]"
mozz	"(australian slang) bad luck, also moz [n -es]"
mozzarella	(italian) a mild white italian cheese [n -s]
mozzarellas	"mozzarella, (italian) a mild white italian cheese [n]"
mozzes	"mozz, (australian slang) bad luck, also moz [n]"
mozzetta	"(italian) a hooded cape worn by bishops, also mozetta [n mozzettas or mozzette]"
mozzettas	"mozzetta, (italian) a hooded cape worn by bishops, also mozetta [n]"
mozzette	"mozzetta, (italian) a hooded cape worn by bishops, also mozetta [n]"
mozzie	"(australian slang) mosquito, also mossie [n -s]"
mozzies	"mozzie, (australian slang) mosquito, also mossie [n]"
mozzle	"(hebrew) to hamper or impede (someone); to hex or give bad luck to (someone) [v mozzled, mozzling, mozzles]"
mozzled	"mozzle, (hebrew) to hamper or impede (someone); to hex or give bad luck to (someone) [v]"
mozzles	mozzle [n]
mozzling	"mozzle, (hebrew) to hamper or impede (someone); to hex or give bad luck to (someone) [v]"
mpret	a former title of the ruler of albania [n -s]
mprets	"mpret, a former title of the ruler of albania [n]"
mridamgam	"(sanskrit) a two-headed indian drum, one head being larger than the other, also mridang, mridanga, mridangam [n -s]"
mridamgams	"mridamgam, (sanskrit) a two-headed indian drum, one head being larger than the other, also mridang, mridanga, mridangam [n]"
mridang	"(sanskrit) a two-headed indian drum, one head being larger than the other, also mridamgam, mridanga, mridangam [n -s]"
mridanga	"(sanskrit) a two-headed indian drum, one head being larger than the other, also mridamgam, mridang, mridangam [n -s]"
mridangam	"(sanskrit) a two-headed indian drum, one head being larger than the other, also mridamgam, mridang, mridanga [n -s]"
mridangams	"mridangam, (sanskrit) a two-headed indian drum, one head being larger than the other, also mridamgam, mridang, mridanga [n]"
mridangas	"mridanga, (sanskrit) a two-headed indian drum, one head being larger than the other, also mridamgam, mridang, mridangam [n]"
mridangs	"mridang, (sanskrit) a two-headed indian drum, one head being larger than the other, also mridamgam, mridanga, mridangam [n]"
mu	(greek) a letter of the greek alphabet [n -s]
mucate	a salt of mucic acid [n -s]
mucates	"mucate, a salt of mucic acid [n]"
mucedinous	mouldy; mildewy [adj]
much	plentiful [adj muchly] / a great deal [n -es]
muchacha	a young woman or female servant [n -s]
muchachas	"muchacha, a young woman or female servant [n]"
muchacho	"(spanish) a boy, manservant [n -s]"
muchachos	"muchacho, (spanish) a boy, manservant [n]"
muchel	"(archaic) a great deal, also mochell, muchell [n -s]"
muchell	"(spenser) a great deal, also mochell, muchel [n -s]"
muchells	"muchell, (spenser) a great deal, also mochell, muchel [n]"
muchels	"muchel, (archaic) a great deal, also mochell, muchell [n]"
muches	"much, a great deal [n]"
muchly	"much, plentiful [adv]"
muchness	greatness [n -es]
muchnesses	"muchness, greatness [n]"
mucho	(spanish) very [adj]
mucic	"as in mucic acid, a colourless crystalline solid carboxylic acid [adj]"
mucid	"mouldy, musty [adj]"
mucidities	"mucidity, mouldiness [n]"
mucidity	mouldiness [n mucidities]
mucidness	the state of being mucid [n -es]
mucidnesses	"mucidness, the state of being mucid [n]"
muciferous	conveying or secreting mucus [adj]
mucigen	"a substance secreted by the cells of mucus membrane, also mucinogen [n -s]"
mucigens	"mucigen, a substance secreted by the cells of mucus membrane, also mucinogen [n]"
mucilage	an adhesive substance [n -s]
mucilages	"mucilage, an adhesive substance [n]"
mucilaginous	"sticky, viscid [adj mucilaginously]"
mucilaginously	"mucilaginous, sticky, viscid [adv]"
mucin	a protein secreted by the mucous membranes [n -s]
mucinogen	"a substance secreted by mucous membrane, also mucigen [n -s]"
mucinogens	"mucinogen, a substance secreted by mucous membrane, also mucigen [n]"
mucinoid	"of or like mucin, a substance produced by mucous membranes, also mucinous [adj]"
mucinous	"of or like mucin, a substance produced by mucous membranes, also mucinoid [adj]"
mucins	"mucin, a protein secreted by the mucous membranes [n]"
muck	"to manure with dung [v -ed, -ing, -s]"
muckamuck	"(colloquial) food [n -s] / to consume food [v -ed, -ing, -s]"
muckamucked	"muckamuck, to consume food [v]"
muckamucking	"muckamuck, to consume food [v]"
muckamucks	"muckamuck, (colloquial) food [n]"
mucked	"muck, to manure with dung [v]"
muckender	(obsolete) a handkerchief [n -s]
muckenders	"muckender, (obsolete) a handkerchief [n]"
mucker	"to squander [v -ed, -ing, -s]"
muckered	"mucker, to squander [v]"
muckering	"mucker, to squander [v]"
muckerish	coarse [adj]
muckers	"mucker, to squander [v]"
muckheap	a dunghill [n -s]
muckheaps	"muckheap, a dunghill [n]"
muckier	"mucky, dirty [adj]"
muckiest	"mucky, dirty [adj]"
muckily	"mucky, dirty [adv]"
muckiness	the quality of being mucky [n -es]
muckinesses	"muckiness, the quality of being mucky [n]"
mucking	"muck, to manure with dung [v]"
muckle	(scots) a great deal [n -s]
muckles	"muckle, (scots) a great deal [n]"
muckluck	"(inuit) a type of sealskin boot, also mucluc, mukluk [n -s]"
mucklucks	"muckluck, (inuit) a type of sealskin boot, also mucluc, mukluk [n]"
muckrake	"to search for and expose corruption [v muckraked, muckraking, muckrakes]"
muckraked	"muckrake, to search for and expose corruption [v]"
muckraker	one who spreads defamatory gossip [n -s]
muckrakers	"muckraker, one who spreads defamatory gossip [n]"
muckrakes	"muckrake, to search for and expose corruption [v]"
muckraking	the exposure of misconduct [n -s]
muckrakings	"muckraking, the exposure of misconduct [n]"
mucks	"muck, to manure with dung [v]"
muckspread	"to spread manure on fields [v muckspread, muckspreading, muckspreads]"
muckspreader	an agricultural machine for spreading manure [n -s]
muckspreaders	"muckspreader, an agricultural machine for spreading manure [n]"
muckspreading	"muckspread, to spread manure on fields [v]"
muckspreads	"muckspread, to spread manure on fields [v]"
mucksweat	a profuse sweat [n -s]
mucksweats	"mucksweat, a profuse sweat [n]"
muckworm	a worm found in manure [n -s]
muckworms	"muckworm, a worm found in manure [n]"
mucky	"dirty [adj muckier, muckiest, muckily]"
muckymuck	a person who is or looks very important [n -s]
muckymucks	"muckymuck, a person who is or looks very important [n]"
mucluc	"(inuit) a type of sealskin boot, also muckluck, mukluk [n -s]"
muclucs	"mucluc, (inuit) a type of sealskin boot, also muckluck, mukluk [n]"
mucocutaneous	"designating the junction between a mucous membrane and the skin, as at the mouth, anus, etc. [adj]"
mucoid	"a substance like mucus, found in connective tissue [n -s]"
mucoidal	mucus-like [adj]
mucoids	"mucoid, a substance like mucus, found in connective tissue [n]"
mucolytic	an agent that is able to break down mucus [n -s]
mucolytics	"mucolytic, an agent that is able to break down mucus [n]"
mucomembranous	relating to the mucous membrane [adj]
mucopeptide	another name for peptidoglycan [n -s]
mucopeptides	"mucopeptide, another name for peptidoglycan [n]"
mucoprotein	any of various complex conjugated proteins that contain polysaccharides and occur in body fluids and tissues [n -s]
mucoproteins	"mucoprotein, any of various complex conjugated proteins that contain polysaccharides and occur in body fluids and tissues [n]"
mucopurulent	containing a mixture of mucus and pus [adj]
mucor	a genus of mould fungi [n -s]
mucors	"mucor, a genus of mould fungi [n]"
mucosa	a mucous membrane [n mucosas or mucosae]
mucosae	"mucosa, a mucous membrane [n]"
mucosal	"relating to mucosae, mucous membranes [adj]"
mucosanguineous	consisting of mucus and blood [adj]
mucosas	"mucosa, a mucous membrane [n]"
mucose	"containing mucus, also mucous [adj]"
mucosities	"mucosity, the state of being mucous [n]"
mucosity	the state of being mucous [n mucosities]
mucous	"containing mucus, also mucose [adj]"
mucoviscidoses	"mucoviscidosis, cystic fibrosis [n]"
mucoviscidosis	cystic fibrosis [n mucoviscidoses]
mucro	a sharp point at the end of certain plant and animal organs [n mucros or mucrones]
mucronate	"terminating in a sharp point, as a mucronate leaf, also mucronated [adj]"
mucronated	"terminating in a sharp point, also mucronate [adj]"
mucronation	the state of being mucronate [n -s]
mucronations	"mucronation, the state of being mucronate [n]"
mucrones	"mucro, a sharp point at the end of certain plant and animal organs [n]"
mucros	"mucro, a sharp point at the end of certain plant and animal organs [n]"
muculent	like mucus [adj]
mucus	"the slimy fluid secreted by various membranes in the body, which it moistens and protects [n -es]"
mucuses	"mucus, the slimy fluid secreted by various membranes in the body, which it moistens and protects [n]"
mud	"to cover with soft wet earth [v mudded, mudding, muds]"
mudbank	a sloping area of mud alongside a body of water [n -s]
mudbanks	"mudbank, a sloping area of mud alongside a body of water [n]"
mudbath	a medicinal or therapeutic bath of heated mud used esp. to relieve rheumatism [n -s]
mudbaths	"mudbath, a medicinal or therapeutic bath of heated mud used esp. to relieve rheumatism [n]"
mudbug	a crayfish [n -s]
mudbugs	"mudbug, a crayfish [n]"
mudcap	"to cover an explosive with mud before detonating [v mudcapped, mudcapping, mudcaps]"
mudcapped	"mudcap, to cover an explosive with mud before detonating [v]"
mudcapping	the act of covering an explosive with mud before detonating [n -s]
mudcappings	"mudcapping, the act of covering an explosive with mud before detonating [n]"
mudcaps	"mudcap, to cover an explosive with mud before detonating [v]"
mudcat	(us) a name given to several species of catfish [n -s]
mudcats	"mudcat, (us) a name given to several species of catfish [n]"
mudded	"mud, to cover with soft wet earth [v]"
mudder	a racehorse that runs well on muddy tracks [n -s]
mudders	"mudder, a racehorse that runs well on muddy tracks [n]"
muddied	"muddy, to cover with mud [v]"
muddier	"muddy, covered with mud [adj]"
muddies	"muddy, to cover with mud [v]"
muddiest	"muddy, covered with mud [adj]"
muddily	"muddy, covered with mud [adv]"
muddiness	the state of being muddy [n -es]
muddinesses	"muddiness, the state of being muddy [n]"
mudding	"mud, to cover with soft wet earth [v]"
muddle	"to mix up [v muddled, muddling, muddles]"
muddled	"muddle, to mix up [v]"
muddledness	the state of being muddled [n -es]
muddlednesses	"muddledness, the state of being muddled [n]"
muddlehead	"a muddled, confused, or foolish person [n -s]"
muddleheaded	muddlehead [v]
muddleheadedly	muddleheaded [adv]
muddleheads	"muddlehead, a muddled, confused, or foolish person [n]"
muddlement	the state of being muddled [n -s]
muddlements	"muddlement, the state of being muddled [n]"
muddler	one who muddles [n -s]
muddlers	"muddler, one who muddles [n]"
muddles	"muddle, to mix up [v]"
muddlier	"muddly, disordered [adj]"
muddliest	"muddly, disordered [adj]"
muddling	confused [adj muddlingly] / the act of creating a muddle [n -s]
muddlingly	"muddling, confused [adv]"
muddlings	"muddling, the act of creating a muddle [n]"
muddly	"disordered [adj muddlier, muddliest]"
muddy	"covered with mud [adj muddier, muddiest, muddily] / to cover with mud [v muddied, muddying, muddies]"
muddying	"muddy, to cover with mud [v]"
mudejar	a spanish moor [n mudejares]
mudejares	"mudejar, a spanish moor [n]"
mudeye	"the larva of the dragonfly, commonly used as a fishing bait [n -s]"
mudeyes	"mudeye, the larva of the dragonfly, commonly used as a fishing bait [n]"
mudfish	"a fish that burrows in mud, esp. a lungfish [n -es]"
mudfishes	"mudfish, a fish that burrows in mud, esp. a lungfish [n]"
mudflap	a flap fixed behind the wheels of a vehicle [n -s]
mudflaps	"mudflap, a flap fixed behind the wheels of a vehicle [n]"
mudflat	a level tract alternately covered and left bare by the tide [n -s]
mudflats	"mudflat, a level tract alternately covered and left bare by the tide [n]"
mudflow	a moving mass of mud [n -s]
mudflows	"mudflow, a moving mass of mud [n]"
mudge	"to equivocate, prevaricate [v mudged, mudging, mudges]"
mudged	"mudge, to equivocate, prevaricate [v]"
mudger	"one who mudges, equivocates [n -s]"
mudgers	"mudger, one who mudges, equivocates [n]"
mudges	"mudge, to equivocate, prevaricate [v]"
mudging	"mudge, to equivocate, prevaricate [v]"
mudguard	a fender [n -s]
mudguards	"mudguard, a fender [n]"
mudhen	a water bird living in muddy places [n -s]
mudhens	"mudhen, a water bird living in muddy places [n]"
mudhole	a hollow place full of mud [n -s]
mudholes	"mudhole, a hollow place full of mud [n]"
mudhook	(slang) an anchor [n -s]
mudhooks	"mudhook, (slang) an anchor [n]"
mudhopper	"a fish of mud flats and mangrove swamps, also mudskipper [n -s]"
mudhoppers	"mudhopper, a fish of mud flats and mangrove swamps, also mudskipper [n]"
mudir	(arabic) a local governor [n -s]
mudiria	"(arabic) the province or office of a mudir, a local governor, also mudirieh [n -s]"
mudirias	"mudiria, (arabic) the province or office of a mudir, a local governor, also mudirieh [n]"
mudirieh	"(arabic) the province or office of a mudir, a local governor, also mudiria [n -s]"
mudiriehs	"mudirieh, (arabic) the province or office of a mudir, a local governor, also mudiria [n]"
mudirs	"mudir, (arabic) a local governor [n]"
mudlark	"a person who scavenges for usable debris in the mud of a river or harbour [n -s] / to follow the occupation of a mudlark [v -ed, -ing, -s]"
mudlarked	"mudlark, to follow the occupation of a mudlark [v]"
mudlarking	"mudlark, to follow the occupation of a mudlark [v]"
mudlarks	"mudlark, to follow the occupation of a mudlark [v]"
mudlogger	"a person who looks for oil, gas etc. in traces of mud excavated from a borehole [n -s]"
mudloggers	"mudlogger, a person who looks for oil, gas etc. in traces of mud excavated from a borehole [n]"
mudlogging	"looking for oil, gas etc. in traces of mud excavated from a borehole [n -s]"
mudloggings	"mudlogging, looking for oil, gas etc. in traces of mud excavated from a borehole [n]"
mudpack	a cosmetic paste for the face [n -s]
mudpacks	"mudpack, a cosmetic paste for the face [n]"
mudpie	a small mass of mud formed into a pie shape [n -s]
mudpies	"mudpie, a small mass of mud formed into a pie shape [n]"
mudpuppies	"mudpuppy, a large salamander, the axolotl [n]"
mudpuppy	"a large salamander, the axolotl [n mudpuppies]"
mudra	a hand gesture in east indian classical dancing [n -s]
mudras	"mudra, a hand gesture in east indian classical dancing [n]"
mudrock	"a pelite, any rock derived from clay or mud [n -s]"
mudrocks	"mudrock, a pelite, any rock derived from clay or mud [n]"
mudroom	a room for shedding muddy clothing [n -s]
mudrooms	"mudroom, a room for shedding muddy clothing [n]"
muds	"mud, to cover with soft wet earth [v]"
mudscow	a flat mud-boat [n -s]
mudscows	"mudscow, a flat mud-boat [n]"
mudsill	the lowest supporting timber of a structure [n -s]
mudsills	"mudsill, the lowest supporting timber of a structure [n]"
mudskipper	"a fish of mud flats and mangrove swamps, also mudhopper [n -s]"
mudskippers	"mudskipper, a fish of mud flats and mangrove swamps, also mudhopper [n]"
mudslide	a slippage of mud down a hillside [n -s]
mudslides	"mudslide, a slippage of mud down a hillside [n]"
mudsling	"to use insults and accusations against a rival candidate [v mudslung, mudslinging, mudslings]"
mudslinger	one who engages in malicious slander intended to discredit another [n -s]
mudslingers	"mudslinger, one who engages in malicious slander intended to discredit another [n]"
mudslinging	vilification of character [n -s]
mudslingings	"mudslinging, vilification of character [n]"
mudslings	"mudsling, to use insults and accusations against a rival candidate [v]"
mudslung	"mudsling, to use insults and accusations against a rival candidate [v]"
mudstone	a fine-grained detrital sedimentary rock made up of clay- and silt-sized particles [n -s]
mudstones	"mudstone, a fine-grained detrital sedimentary rock made up of clay- and silt-sized particles [n]"
mudwort	a small herbaceous plant growing on muddy shores [n -s]
mudworts	"mudwort, a small herbaceous plant growing on muddy shores [n]"
mueddin	"(arabic) the muslim official who calls the faithful to prayer, also muezzin [n -s]"
mueddins	"mueddin, (arabic) the muslim official who calls the faithful to prayer, also muezzin [n]"
muenster	"a semisoft cow's milk cheese from munster in france, also munster [n -s]"
muensters	"muenster, a semisoft cow's milk cheese from munster in france, also munster [n]"
muesli	"(german) a dish of rolled oats, nuts etc. eaten as a breakfast cereal [n -s]"
mueslis	"muesli, (german) a dish of rolled oats, nuts etc. eaten as a breakfast cereal [n]"
muezzin	"(arabic) the muslim official who calls the faithful to prayer, also mueddin [n -s]"
muezzins	"muezzin, (arabic) the muslim official who calls the faithful to prayer, also mueddin [n]"
muff	"to make a mess of, fail to catch [v -ed, -ing, -s]"
muffed	"muff, to make a mess of, fail to catch [v]"
muffettee	"(obsolete) a muffler, a woollen cuff [n -s]"
muffettees	"muffettee, (obsolete) a muffler, a woollen cuff [n]"
muffin	"a thick round baked yeast roll, usually toasted and served with butter [n -s]"
muffineer	a dish for keeping muffins hot [n -s]
muffineers	"muffineer, a dish for keeping muffins hot [n]"
muffing	"muff, to make a mess of, fail to catch [v]"
muffins	"muffin, a thick round baked yeast roll, usually toasted and served with butter [n]"
muffish	stupid; awkward [adj]
muffle	"to dull the sound of [v muffled, muffling, muffles]"
muffled	"muffle, to dull the sound of [v]"
muffler	"a thick scarf, collar, etc. [n -s]"
mufflered	wearing a muffler [adj]
mufflers	"muffler, a thick scarf, collar, etc. [n]"
muffles	"muffle, to dull the sound of [v]"
muffling	"muffle, to dull the sound of [v]"
muffs	"muff, to make a mess of, fail to catch [v]"
muflon	"(french) a corsican wild sheep, also moufflon, mouflon, musimon, musmon [n -s]"
muflons	"muflon, (french) a corsican wild sheep, also moufflon, mouflon, musimon, musmon [n]"
mufti	civilian dress [n -s]
muftis	"mufti, civilian dress [n]"
mug	"to assault with intent to rob [v mugged, mugging, mugs]"
mugearite	"a dark, finely crystalline basic igneous rock [n -s]"
mugearites	"mugearite, a dark, finely crystalline basic igneous rock [n]"
mugful	as much as a mug can hold [n -s]
mugfuls	"mugful, as much as a mug can hold [n]"
mugg	"to make funny faces [v -ed, -ing, -s]"
mugga	(native australian) an australian eucalyptus with dark bark and pink flowers [n -s]
muggar	"(hindi) a broad-snouted indian crocodile, also mugger, muggur [n -s]"
muggars	"muggar, (hindi) a broad-snouted indian crocodile, also mugger, muggur [n]"
muggas	"mugga, (native australian) an australian eucalyptus with dark bark and pink flowers [n]"
mugged	"mugg, to make funny faces [v]"
muggee	the victim of a mugger [n -s]
muggees	"muggee, the victim of a mugger [n]"
mugger	"(hindi) a broad-snouted indian crocodile, also muggar, muggur [n -s]"
muggers	"mugger, (hindi) a broad-snouted indian crocodile, also muggar, muggur [n]"
muggier	"muggy, warm and humid [adj]"
muggiest	"muggy, warm and humid [adj]"
muggily	"muggy, warm and humid [adv]"
mugginess	the quality of being muggy [n -es]
mugginesses	"mugginess, the quality of being muggy [n]"
mugging	a street assault [n -s]
muggings	"mugging, a street assault [n]"
muggins	"a fool, a sucker, esp. used facetiously to refer to oneself as such [n -es]"
mugginses	"muggins, a fool, a sucker, esp. used facetiously to refer to oneself as such [n]"
muggish	somewhat muggy [adj]
muggle	(in fantasy fiction) a person who does not possess supernatural powers [n -s]
muggles	"muggle, (in fantasy fiction) a person who does not possess supernatural powers [n]"
muggs	"mugg, to make funny faces [v]"
muggur	"(hindi) a broad-snouted indian crocodile, also muggar, mugger [n -s]"
muggurs	"muggur, (hindi) a broad-snouted indian crocodile, also muggar, mugger [n]"
muggy	"warm and humid [adj muggier, muggiest, muggily]"
mughal	"an important person, also mogul, moghul [n -s]"
mughals	"mughal, an important person, also mogul, moghul [n]"
mugs	"mug, to assault with intent to rob [v]"
mugshot	a photograph esp. of a police suspect's face [n -s]
mugshots	"mugshot, a photograph esp. of a police suspect's face [n]"
mugwort	a common british plant of the wormwood family [n -s]
mugworts	"mugwort, a common british plant of the wormwood family [n]"
mugwump	a bolter from the republican party in 1884; a political independent [n -s]
mugwumperies	"mugwumpery, the acts and views of a mugwump, a bolter from the republican party in 1884; a political independent [n]"
mugwumpery	"the acts and views of a mugwump, a bolter from the republican party in 1884; a political independent [n mugwumperies]"
mugwumpish	like a mugwump [adj]
mugwumpism	being a mugwump [n -s]
mugwumpisms	"mugwumpism, being a mugwump [n]"
mugwumps	"mugwump, a bolter from the republican party in 1884; a political independent [n]"
muhlies	"muhly, a perennial grass [n]"
muhly	a perennial grass [n muhlies]
muid	an old french measure of capacity [n -s]
muids	"muid, an old french measure of capacity [n]"
muil	"(scots) a mule, a backless slipper [n -s]"
muils	"muil, (scots) a mule, a backless slipper [n]"
muir	(scots) a moor [n -s]
muirburn	"the seasonal burning of heather on moorland to promote new growth, also moorburn [n -s]"
muirburns	"muirburn, the seasonal burning of heather on moorland to promote new growth, also moorburn [n]"
muirs	"muir, (scots) a moor [n]"
muist	"(scots) a musk, hair-powder [n -s] / to powder, also moust [v -ed, -ing, -s]"
muisted	"muist, to powder, also moust [v]"
muisting	"muist, to powder, also moust [v]"
muists	"muist, to powder, also moust [v]"
mujaheddin	"(arabic) islamic fundamentalist freedom fighters, also mojahedin, mujahedeen, mujahedin, mujahideen, mujahidin [n]"
mujahedeen	"(arabic) islamic fundamentalist freedom fighters, also mojahedin, mujaheddin, mujahedin, mujahideen, mujahidin [n]"
mujahedin	"(arabic) islamic fundamentalist freedom fighters, also mojahedin, mujaheddin, mujahedeen, mujahideen, mujahidin [n]"
mujahideen	"(arabic) islamic fundamentalist freedom fighters, also mojahedin, mujaheddin, mujahedeen, mujahedin, mujahidin [n]"
